Item,Location,Flag

ability,,
Tail,Sun Cavern - Sage's Blessing 1,SKILL_ATTACK
Horn,Sun Cavern - Sage's Blessing 2,SKILL_DIVE
Wings,Sun Cavern - Sage's Blessing 3,SKILL_HOVER
Bubble,Sun Cavern - Sage's Blessing 4,SKILL_PROJECTILE
Flight,Sun Cavern - Sage's Blessing 5,SKILL_FLIGHT

nonVanillaAbility,,
Grounded Tail,,SKILL_GROUNDATTACK
Aerial Tail,,SKILL_AIRATTACK
Double Jump,,SKILL_DOUBLEJUMP
Roll,,SKILL_ROLL
Swim,,SKILL_SWIM
Carry,,SKILL_CARRY
Climb,,SKILL_CLIMB
High Jump,,SKILL_HIGHJUMP
Sprint,,SKILL_SPRINT
Super Bounce,,SKILL_SUPERBOUNCE
Super Bubble Jump,,SKILL_SUPERBUBBLEJUMP
Air Swim,,SKILL_AIRSWIM

teleport,,
Open Lake Lobby Teleport,,TELEPORT_LAKE
Open Armada Lobby Teleport,,TELEPORT_MONSTER
Open Palace Lobby Teleport,,TELEPORT_PALACE
Open Gallery Lobby Teleport,,TELEPORT_GALLERY

gratitude,,
Gratitude 1,Fed Lostleaf Lake Fella,GRATITUDE1
Gratitude 2,Fed Airborne Armada Fella,GRATITUDE2
Gratitude 3,Fed Prismic Palace Fella,GRATITUDE3
Gratitude 4,Fed Gallery of Nightmares Fella,GRATITUDE4

pickup,,
Fish Food,Treehouse - Fish Food,ITEM_FISH_FOOD
Lady Opal's Egg 1,Lady Opal's Egg: Castle,ITEM_PRINCESS_1
Lady Opal's Egg 2,Lady Opal's Egg: Pool,ITEM_PRINCESS_2
Lady Opal's Egg 3,Lady Opal's Egg: Poki-Poki,ITEM_PRINCESS_3

event,,
Topple Mighty Wall,Whack Mighty Wall,CAVE_NURIKABE_FALLEN

Raise Armada Lobby Pipes,Armada Lobby Purple Valve,MONSTER_LOBBY_PIPES_RISEN
Activate Armada Lobby Red Pipe Updraft,Armada Lobby Green Valve,MONSTER_LOBBY_STEAM

Run Palace Lobby Faucet,Palace Lobby Faucet Preston,PALACE_LOBBY_FAUCET_ON
Activate Palace Lobby Whirlpool,Palace Lobby Whirlpool Preston,PALACE_LOBBY_WHIRLPOOL_ON

Open Gallery Lobby Hedge Maze,Gallery Lobby - Extinguish Torches,CAVE_GALLERY_LOBBY_TORCH_EXTINGUISH
Open Gallery Lobby Door,Gallery Lobby - Hedge Maze Preston,CAVE_GALLERY_LOBBY_GALLERY_OPEN

Raise Lake Swings,Lostleaf Lake - Winky Tree Target,LAKE_SWINGS_RAISED
Open Deep Woods,Lostleaf Lake - Help Shelnert,LAKE_KAPPA_SUCCESS
Open Crypt,Lostleaf Lake - Back of the Headstone,LAKE_CRYPT_GATE_OPEN
Open Church,Lostleaf Lake - Ring Bell,LAKE_BELL_RANG
Open Church Basement,Church - Angel Statue Puzzle,LAKE_CHURCH_SUCCESS
Open Treehouse,Lostleaf Lake - Treehouse Preston,LAKE_BEDROOM_DOOR_OPEN
Lower Deep Woods Egg,Lostleaf Lake - Tree Puzzle,LAKE_GROVE_HELPED

Open Armada Cockpit,Kerrington - Soothe Mr. Kerrington's Boils,MONSTER_BOILS_REMOVED
Free Armada Buddies,Kerrington - Generators Puzzle,MONSTER_TEST_CHUBES_OPENED
Unclog Kerrington's Heart,Heart - Generators Puzzle,MONSTER_HEART_ROOM_SUCCESS
Open Kerrington's Heart,Kerrington - Race,MONSTER_HEART_GATE_OPEN
Open Medicine Pool,Kerrington - Medicine Pool Preston,MONSTER_TAIL_GATE_OPEN

Open Prismic Palace Basement,Prismic Palace - Basement Star Hoops,PALACE_ABYSS_HOOP_SUCCESS
Open Palace-Lostleaf Connector,Palace-Lostleaf Connector - Preston,PALACE_LAKE_GATE_OPEN
Open Prismic Palace Gate,Prismic Palace - Angel Statue Puzzle,PALACE_GATE_RISEN
Unfreeze Prismic Palace,Prismic Palace - Help Lady Opal,PALACE_MELTED_ICE
Open Prismic Palace Snowcastle,Prismic Palace - Snowcastle Preston,PALACE_SNOW_CASTLE_GATE_OPEN
Open Observatory Shortcut,Prismic Palace - Observatory Preston,PALACE_OBSERVATORY_SHORTCUT
Open Bigstar Cave,Prismic Palace - Bigstar Preston,PALACE_ICE_WALL_STARFISH_REMOVED
Open Gobbler Cave,Prismic Palace - Gobbler Preston,PALACE_ICE_WALL_MORAY_REMOVED
Snooze Gobbler,Prismic Palace - Feed Gobbler,PALACE_MORAY_FED

Disable Prismic Palace Seedragons,Palace Interior - Sentry Control Preston,PALACE_SENTRIES_DISABLED
Open Bubble Conch Room,Palace Interior - Seastar Puzzle,PALACE_TORPEDO_DOOR_OPENED

Open Heaven's Path Exit,Heaven's Path - Finished Race,PALACE_SANCTUM_RACE_FINISHED
Open Heaven's Path Race Entrance,Heaven's Path - Bottom Preston,PALACE_SANCTUM_STOPPER_RAISED

Raise Dining Room Platform,Palace Dining Room - Preston,PALACE_DINING_ROOM_RISEN

Reveal Observatory Item,Observatory - Telescope Puzzle,OBSERVATORY_SUCCESS

Open Gallery Doors,Gallery of Nightmares - Sage's Painting,GALLERY_SAGE_PAINTING_SUCCESS
Open Mr. Kerrington Painting Gate,Gallery of Nightmares - Mr. Kerrington's Painting,GALLERY_MONSTER_PAINTING_SUCCESS
Open Skull's Diamond Eye,Gallery of Nightmares - Shelnert's Painting,GALLERY_KAPPA_PAINTING_SUCCESS
Open Gallery-Armada Connector,Gallery-Armada Connector - Preston,GALLERY_MONSTER_SHORTCUT_OPEN
Open Gallery of Nightmares Swamp Door,Gallery of Nightmares - Swamp Angel Statue Puzzle,GALLERY_STATUE_PUZZLE_SUCCESS
Open Gallery of Nightmares Sewer Chest #1,Gallery of Nightmares - Sewer Angel Statue Puzzle,GALLERY_ANGEL_STATUE_SHADOWS_SUCCESS
Open Gallery of Nightmares Sewer Chest #2,Gallery of Nightmares - Lady Opal's Painting,GALLERY_PRINCESS_PAINTING_SUCCESS
Open Luna's House,Gallery of Nightmares - Helped Sniffles,GALLERY_GIANT_HEALED
Extend Fire Lobby Tongue Platform,Gallery of Nightmares - Fire Lobby Preston,GALLERY_FIRE_LOBBY_BRIDGE_EXTENDED
Extend Fire Lobby Frying Pans,Gallery of Nightmares - Fire Lobby Hoops,GALLERY_HOOP_SUCCESS
Coils of Agony - Open Snake's Mouth,Coils of Agony - Hidden Pillar,CHALICE_BRIDGE_ACTIVE

card,,
Card: Shroom,Card: Sun Cavern - Air Vent,CARD_CAVE_MUSHROOM
Card: Mighty Wall,Card: Lostleaf Lobby - Branches,CARD_CAVE_NURIKABE
Card: Pale Carpy,Card: Moon Cavern - Statue,CARD_CAVE_KOI_CAVE
Card: Preston,Card: Armada Lobby - Jester Boots,CARD_CAVE_SWITCH
Card: Keehee,Card: Moon Cavern - Dive,CARD_CAVE_SHOOTING_STAR
Card: Hunger,Card: Gallery Lobby - Hedge Maze,CARD_CAVE_HUNGER

Card: Shelnert,Card: Lostleaf Lake - Teepee,CARD_LAKE_KAPPA
Card: Shelwart,Card: Lostleaf Lake - Apple Tree,CARD_LAKE_CRYPT
Card: Carpy,Card: Lostleaf Lake - Lake Stump,CARD_LAKE_KOI
Card: Raay,Card: Church - Top,CARD_LAKE_SUN
Card: Sappleing,Card: Lostleaf Lake - Entry,CARD_LAKE_SAPLING
Card: Gabby Grove,Card: Treehouse - Top,CARD_LAKE_GROVE

Card: Mr. Kerrington,Card: Kerrington - Slide,CARD_MONSTER_MONSTER
Card: Skritch,Card: Kerrington - Pipe,CARD_MONSTER_SPIN_BLADE
Card: Boiby,Card: Airborne Armada - Broken Wing,CARD_MONSTER_BOIL
Card: Dumpling,Card: Airborne Armada - Behind Entry Drone,CARD_MONSTER_DUMPLING
Card: F.I.S.H,Card: Kerrington - Hammocks,CARD_MONSTER_FISH
Card: Reaper,Card: Kerrington - Near Mr. Kerrington's Heart,CARD_MONSTER_FF

Card: Lady Opal,Card: Observatory,CARD_PALACE_PRINCESS
Card: Poki-Poki,Card: Prismic Palace - Top of Observatory,CARD_PALACE_URCHIN
Card: Pom,Card: Prismic Palace - Snowcastle,CARD_PALACE_PALM_TREE_FLOAT
Card: Bigstar,Card: Prismic Palace - Top of Palace,CARD_PALACE_SEASTAR
Card: The Gobbler!,Card: Prismic Palace - Above Pool,CARD_PALACE_MORAY
Card: Seedragon,Card: Prismic Palace - Inside Palace,CARD_PALACE_SENTRY

Card: Rattles,Card: Gallery of Nightmares - Swamp Castle,CARD_GALLERY_RATTLES
Card: Sniffles,Card: Gallery of Nightmares - Sewer Bottom,CARD_GALLERY_GIANT
Card: Starving Art,Card: Gallery of Nightmares - Basement Entrance,CARD_GALLERY_MIMIC_PAINTING
Card: Eternal,Card: Gallery of Nightmares - Swamp,CARD_GALLERY_UNDEAD
Card: Heartburn,Card: Gallery of Nightmares - Frying Pans,CARD_GALLERY_FIRE_SNAKE
Card: Hawhaw,Card: Gallery of Nightmares - Above Pits of Despair Painting,CARD_GALLERY_CHOMP

Card: Fynn,Card: Sewer - Armada Lobby Side,CARD_CAVE_DRAGON
Card: Fynn's Siblings,Card: Sewer - Gallery of Nightmares Side,CARD_CAVE_FELLA
Card: Sage,Card: Dream,CARD_CAVE_SAGE
Card: Luna,Card: Gallery Lobby - Behind the Gallery,CARD_CAVE_VILLAIN
Card: Boxed Nightmare,Card: Palace Dining Room - Top,CARD_CAVE_PANDORA
Card: Frozen King,Card: Palace Lobby - Top,CARD_CAVE_KING

egg,,
Sun Egg,Egg: Sun Cavern - Mighty Wall,FELLA_CAVE1
Green Starry Egg,Egg: Sun Cavern - Waterfall,FELLA_CAVE2
Blue Moon Egg,Egg: Moon Cavern - Dive Puzzle,FELLA_CAVE3
Blorange Striped Egg,Egg: Moon Cavern - Keehee Climb,FELLA_CAVE4
Blue Dotted Egg,Egg: Lostleaf Lobby - Branches,FELLA_CAVE5
American Egg,Egg: Armada Lobby - Cannon,FELLA_CAVE6
Red Swirly Egg,Egg: Palace Lobby - Submerged,FELLA_CAVE7
Ghost Egg,Egg: Gallery Lobby - Lostleaf Lobby Entryway,FELLA_CAVE8

Hatchable Egg: Lostleaf Lake,Egg: Lostleaf Lake - Entry Stump,FELLA_LAKE1
Easter Zig-zag Egg,Egg: Lostleaf Lake - Jester Boots,FELLA_LAKE2
Apple Egg,Egg: Lostleaf Lake - Lake Log,FELLA_LAKE3
Snowfall Egg,Egg: Lostleaf Lake - Waterfall,FELLA_LAKE4
Fishbones Egg,Egg: Crypt - Shelwart's Gravestone,FELLA_LAKE5
Sunshine Egg,Egg: Lostleaf Lake - Deep Woods Puzzle,FELLA_LAKE6
Birds Egg,Egg: Lostleaf Lake - Near the Treehouse,FELLA_LAKE7
Stained Glass Egg,Egg: Church - Below the Angel Statues,FELLA_LAKE8

Hatchable Egg: Airborne Armada,Egg: Airborne Armada - Mr. Kerrington's Tail,FELLA_MONSTER1
Burning Egg,Egg: Fire Drone,FELLA_MONSTER2
Bat Egg,Egg: Kerrington - Slide,FELLA_MONSTER3
Doggy Egg,Egg: Kerrington - Dog Food,FELLA_MONSTER4
Spooky Egg,Egg: Kerrington - Boiler,FELLA_MONSTER5
Smiley Egg,Egg: Kerrington - Pipe,FELLA_MONSTER6
Heart Egg,Egg: Mr. Kerrington's Heart,FELLA_MONSTER7
Dumpling Egg,Egg: Kerrington - Dumpling,FELLA_MONSTER8

Hatchable Egg: Prismic Palace,Egg: Prismic Palace - Snowcastle,FELLA_PALACE1
Ornate Egg,Egg: Palace Dining Room,FELLA_PALACE2
Starlit Egg,Egg: Observatory,FELLA_PALACE3
Checkered Egg,Egg: Prismic Palace - Observatory Slide,FELLA_PALACE4
Flower Egg,Egg: Prismic Palace - Bigstar,FELLA_PALACE5
Snowstorm Egg,Egg: Prismic Palace - Top of the Palace,FELLA_PALACE6
Zig-zag Egg,Egg: Palace Interior - Basement,FELLA_PALACE7
Happy Egg,Egg: Prismic Palace - Gobbler,FELLA_PALACE8

Red Eyes Egg,Egg: Coils of Agony,FELLA_CHALICE1
Seaweed Egg,Egg: Pits of Despair,FELLA_DROWN1
Moonlight Egg,Egg: Wastes of Eternity,FELLA_UNDEAD1

Hatchable Egg: Gallery of Nightmares,Egg: Gallery of Nightmares - Matryoshka Egg,FELLA_GALLERY1
Ripped Egg,Egg: Gallery of Nightmares - Skull's Eye,FELLA_GALLERY2
Robot Egg,Egg: Gallery of Nightmares - Mr. Kerrington Painting,FELLA_GALLERY3
Bricked Egg,Egg: Gallery of Nightmares - Sewer,FELLA_GALLERY4
Ghost Egg,Egg: Gallery of Nightmares - Deepest Darkness,FELLA_GALLERY5

shroom,,
Cavern Shroom 1,Shroom: Sun Cavern - Mighty Wall Ground 1,NOTE_CAVE2
Cavern Shroom 2,Shroom: Sun Cavern - Mighty Wall Ground 2,NOTE_CAVE3
Cavern Shroom 3,Shroom: Sun Cavern - Mighty Wall Ground 3,NOTE_CAVE4
Cavern Shroom 4,Shroom: Sun Cavern - Mighty Wall Ground 4,NOTE_CAVE5
Cavern Shroom 5,Shroom: Sun Cavern - Mighty Wall Egg Ledge 1,NOTE_CAVE1
Cavern Shroom 6,Shroom: Sun Cavern - Mighty Wall Egg Ledge 2,NOTE_CAVE6
Cavern Shroom 7,Shroom: Sun Cavern - Mighty Wall Egg Ledge 3,NOTE_CAVE7
Cavern Shroom 8,Shroom: Sun Cavern - High Jump Ledge 1,NOTE_CAVE8
Cavern Shroom 9,Shroom: Sun Cavern - High Jump Ledge 2,NOTE_CAVE9
Cavern Shroom 10,Shroom: Sun Cavern - Tail Spin Ledge 1,NOTE_CAVE10
Cavern Shroom 11,Shroom: Sun Cavern - Tail Spin Ledge 2,NOTE_CAVE11
Cavern Shroom 12,Shroom: Sun Cavern - Ducklings Ledge 1,NOTE_CAVE12
Cavern Shroom 13,Shroom: Sun Cavern - Ducklings Ledge 2,NOTE_CAVE13
